,date,iexId,isEnabled,name,symbol,type
7498,2018-09-18,14506,True,Thunder Bridge Acquisition Ltd. Unit,TBRGU,su
7499,2018-09-18,14839,True,Thunder Bridge Acquisition Ltd. Warrant,TBRGW,N/A
7500,2018-09-18,6684,True,ProShares UltraShort Lehman 20 Year Treasury,TBT,et
7501,2018-09-18,6685,True,ProShares Short 7 10 Year Treasury,TBX,et
7502,2018-09-18,6693,True,Texas Capital Bancshares Inc.,TCBI,cs
7503,2018-09-18,6694,True,Texas Capital Bancshares Inc. 6.50% Subordinated Notes due 2042,TCBIL,N/A
7504,2018-09-18,6695,True,Texas Capital Bancshares Inc. Non Cumulative Preferred Perpetual Stock Series A,TCBIP,ps
7505,2018-09-18,7979,True,Texas Capital Bancshares Inc. Warrants 01/16/2019,TCBIW,N/A
7506,2018-09-18,6696,True,TriCo Bancshares,TCBK,cs
7507,2018-09-18,6699,True,Technical Communications Corporation,TCCO,cs
7508,2018-09-18,14712,True,Tricida Inc.,TCDA,cs
7509,2018-09-18,6690,True,TCF Financial Corporation,TCF,cs
7510,2018-09-18,7978,True,TCF Financial Corporation Warrants,TCF+,N/A
7511,2018-09-18,13410,True,TCF Financial Corporation Depositary Shares Series C,TCF-D,ps
7512,2018-09-18,7803,True,The Community Financial Corporation,TCFC,cs
7513,2018-09-18,13403,True,The Carlyle Group L.P.,TCGP,ps
7514,2018-09-18,6701,True,Transcontinental Realty Investors Inc.,TCI,cs
7515,2018-09-18,11029,True,Tactile Systems Technology Inc.,TCMD,cs
7516,2018-09-18,6703,True,Taubman Centers Inc.,TCO,cs
7517,2018-09-18,6704,True,Taubman Centers Inc. Preferred Shares Series J,TCO-J,ps
7518,2018-09-18,6705,True,Taubman Centers Inc. Preferred Series K,TCO-K,ps
7519,2018-09-18,9674,True,TRACON Pharmaceuticals Inc.,TCON,cs
7520,2018-09-18,6706,True,TC PipeLines LP representing Limited Partner Interests,TCP,cs
7521,2018-09-18,6707,True,BlackRock TCP Capital Corp.,TCPC,cs
7522,2018-09-18,6708,True,THL Credit Inc.,TCRD,cs
7523,2018-09-18,9528,True,,TCRX,N/A
7524,2018-09-18,10932,True,THL Credit Inc. 6.75% Notes due 2022,TCRZ,N/A
7525,2018-09-18,8036,True,Container Store (The),TCS,cs
7526,2018-09-18,12027,True,Premise Capital Frontier Advantage Diversified Tactical,TCTL,N/A
7527,2018-09-18,6709,True,Tucows Inc.,TCX,cs
7528,2018-09-18,6710,True,Toronto Dominion Bank (The),TD,cs
7529,2018-09-18,6711,True,Telephone and Data Systems Inc. 5.875% Senior Notes due 2061,TDA,N/A
7530,2018-09-18,14264,True,Trident Acquisitions Corp.,TDAC,cs
7531,2018-09-18,14254,True,Trident Acquisitions Corp. Units,TDACU,su
7532,2018-09-18,14733,True,,TDACW,N/A
7533,2018-09-18,6712,True,Teradata Corporation,TDC,cs
7534,2018-09-18,6714,True,Telephone and Data Systems Inc. 6.875% Senior Notes due 2059,TDE,N/A
7535,2018-09-18,6715,True,Templeton Dragon Fund Inc.,TDF,cs
7536,2018-09-18,6716,True,Transdigm Group Incorporated Inc.,TDG,cs
7537,2018-09-18,6718,True,Telephone and Data Systems Inc. Sr Nt,TDI,bo
7538,2018-09-18,6719,True,First Trust NASDAQ Technology Dividend Index Fund,TDIV,et
7539,2018-09-18,6720,True,Telephone and Data Systems Inc. 7% Senior Notes due 2060,TDJ,N/A
7540,2018-09-18,10118,True,Teladoc Health Inc.,TDOC,cs
7541,2018-09-18,6722,True,Telephone and Data Systems Inc.,TDS,cs
7542,2018-09-18,6723,True,FlexShares iBoxx 5 Year Target Duration TIPS Index Fund,TDTF,et
7543,2018-09-18,6724,True,FlexShares iBoxx 3 Year Target Duration TIPS Index Fund,TDTT,et
7544,2018-09-18,13208,True,Tidewater Inc.,TDW,cs
7545,2018-09-18,13513,True,,TDW+A,N/A
7546,2018-09-18,13514,True,,TDW+B,N/A
7547,2018-09-18,6728,True,Teledyne Technologies Incorporated,TDY,cs
7548,2018-09-18,10830,True,Atlassian Corporation Plc,TEAM,cs
7549,2018-09-18,6731,True,Tech Data Corporation,TECD,cs
7550,2018-09-18,6732,True,Bio-Techne Corp,TECH,cs
7551,2018-09-18,6702,True,Teck Resources Ltd,TECK,cs
7552,2018-09-18,6733,True,Direxion Technology Bull 3X Shares,TECL,et
7553,2018-09-18,6734,True,Direxion Technology Bear 3X Shares,TECS,et
7554,2018-09-18,8480,True,Tarena International Inc.,TEDU,cs
7555,2018-09-18,6737,True,Telefonica SA,TEF,cs
7556,2018-09-18,6739,True,Templeton Emerging Markets Income Fund Inc.,TEI,cs
7557,2018-09-18,6740,True,TE Connectivity Ltd. New Switzerland Registered Shares,TEL,cs
7558,2018-09-18,4523,True,Tellurian Inc.,TELL,cs
7559,2018-09-18,6742,True,Tenneco Inc.,TEN,cs
7560,2018-09-18,14797,True,Tenable Holdings Inc.,TENB,cs
7561,2018-09-18,5216,True,Tenax Therapeutics Inc.,TENX,cs
7562,2018-09-18,6744,True,Telecom Argentina SA,TEO,cs
7563,2018-09-18,6746,True,Teradyne Inc.,TER,cs
7564,2018-09-18,12771,True,EquityCompass Tactical Risk Manager,TERM,N/A
7565,2018-09-18,8680,True,TerraForm Power Inc.,TERP,cs
7566,2018-09-18,6748,True,TESSCO Technologies Incorporated,TESS,cs
7567,2018-09-18,12801,True,ETF Industry Exposure & Financial Services,TETF,N/A
7568,2018-09-18,2269,True,Pareteum Corporation,TEUM,cs
7569,2018-09-18,6750,True,Teva Pharmaceutical Industries Limited American Depositary Shares,TEVA,cs
7570,2018-09-18,6751,True,Terex Corporation,TEX,cs
7571,2018-09-18,6755,True,SPDR Nuveen Bloomberg Barclays Municipal Bond,TFI,et
7572,2018-09-18,14874,True,Global X TargetIncome 5,TFIV,N/A
7573,2018-09-18,8268,True,iShares Treasury Floating Rate Bond,TFLO,N/A
7574,2018-09-18,14875,True,Global X TargetIncome Plus 2,TFLT,N/A
7575,2018-09-18,6757,True,TFS Financial Corporation,TFSL,cs
7576,2018-09-18,6758,True,Teleflex Incorporated,TFX,cs
7577,2018-09-18,6759,True,Tredegar Corporation,TG,cs
7578,2018-09-18,6760,True,TransGlobe Energy Corporation,TGA,cs
7579,2018-09-18,6761,True,Taseko Mines Ltd.,TGB,cs
7580,2018-09-18,6762,True,Tengasco Inc.,TGC,cs
7581,2018-09-18,9775,True,Tallgrass Energy LP Class A Shares,TGE,cs
7582,2018-09-18,6766,True,Tecogen Inc.,TGEN,cs
7583,2018-09-18,6767,True,Textainer Group Holdings Limited,TGH,cs
7584,2018-09-18,6768,True,Triumph Group Inc.,TGI,cs
7585,2018-09-18,332,True,Tecnoglass Inc.,TGLS,cs
7586,2018-09-18,2781,True,TEGNA Inc,TGNA,cs
7587,2018-09-18,6769,True,Teekay LNG Partners L.P.,TGP,cs
